title,price,link,image
"Brand New! MacBook Pro 13"" M1 Chip 8GB 512GB Space Gray MYD92LL/A 2020 Model",1300.0,https://www.ebay.com/itm/304694847131,https://i.ebayimg.com/images/g/hvgAAOSwxLxjawrS/s-l500.webp
Apple MacBook Pro with Touch Bar 13.3″ Notebook - Core i5 3.1GHz 8GB RAM256GBSSD,1300.0,https://www.ebay.com/itm/383354765856,https://i.ebayimg.com/images/g/d~MAAOSwU0VeEQ1E/s-l500.webp
Apple MacBook Pro 14 In M1 Pro Chip 2021 16GB 512GB SSD Space Gray,1334.5,https://www.ebay.com/itm/405445334555,https://i.ebayimg.com/images/g/b5UAAOSwQypnaxta/s-l500.webp
"Apple Macbook Pro 16.2"" M1 Pro Chip 16GB 512GB Silver MK1E3LL/A Model A2485",1349.99,https://www.ebay.com/itm/176462201603,https://i.ebayimg.com/images/g/rcMAAOSwq1BlU8Ns/s-l500.webp
"Apple MacBook Pro 16"" (512GB SSD, M1 Pro, 16GB) Laptop - Silver - MK1E3LL/A...",1389.0,https://www.ebay.com/itm/168422599728,https://i.ebayimg.com/images/g/CFwAAeSwx81qHiEw/s-l500.webp
"Apple MacBook Pro 13in (256GB SSD, M1, 8GB) Laptop - Space Gray - MYD82LL/A...",1399.0,https://www.ebay.com/itm/265447707111,https://i.ebayimg.com/images/g/giwAAOSwO7VhtMYA/s-l500.webp
"Apple MacBook Pro 16 in 2020 Space Gray/Apple M1 Pro 3.2 GHz, 1 TB 16 GB 16-Core",1450.0,https://www.ebay.com/itm/168400415908,https://i.ebayimg.com/images/g/zEEAAeSwyWlqE4iv/s-l500.webp
"Apple MacBook Pro 16.2"" (512GB SSD, Apple M1 Pro, 16GB) Laptop - Space Gray CTO",1495.0,https://www.ebay.com/itm/397783501834,https://i.ebayimg.com/images/g/8J0AAeSwteRpypne/s-l500.webp
"Apple MacBook Pro 16"" (512GB SSD, M1 Pro, 16GB) Laptop - Space Gray - MK183LL/A",1499.74,https://www.ebay.com/itm/317784230733,https://i.ebayimg.com/images/g/Cv4AAeSwfrFpcBHC/s-l500.webp
"New Apple MacBook Pro 13in (512GB SSD, M1, 8GB) Laptop - Space Gray - MYD92LL/A.",1500.0,https://www.ebay.com/itm/114893057817,https://i.ebayimg.com/images/g/qw0AAOSww8xg8G5z/s-l500.webp
"Sealed Apple MacBook Pro 14"" (1TB SSD, M1 Pro, 16GB)Laptop - Space Gray.",1599.99,https://www.ebay.com/itm/135159896673,https://i.ebayimg.com/images/g/rUMAAOSwGrxmn~wU/s-l500.webp
"Space Gray 14-inch MacBook Pro M1 Pro 16GB unified memory 512GB SSD, 14-core GPU",1599.99,https://www.ebay.com/itm/356705867048,https://i.ebayimg.com/images/g/IIgAAOSwHGpn4PtH/s-l500.webp
"Silver 16-inch MacBook Pro M1 Pro 16GB unified memory 1TB SSD, 16-core GPU",1799.99,https://www.ebay.com/itm/356705670010,https://i.ebayimg.com/images/g/2DUAAOSwwPln4arY/s-l500.webp
NEW APPLE MACBOOK PRO MK193LL/A (A2485) 16.2-INCH M1 PRO 10C CPU| 16GB RAM | 1TB,1799.99,https://www.ebay.com/itm/285583772363,https://i.ebayimg.com/images/g/mVMAAOSwnIhlZ7p0/s-l500.webp
"Apple MacBook Pro 13in (512GB SSD, M1, 8GB) Laptop - Space Gray - MYD92LL/A...",1800.0,https://www.ebay.com/itm/304622188108,https://i.ebayimg.com/images/g/BY8AAOSwgGRjEg~C/s-l500.webp
"M1MacBook Pro 13inch Space Gray (512GB SSD,8GB of memory) MAGIC MOUSE 2 INCLUDED",1837.3,https://www.ebay.com/itm/363695936244,https://i.ebayimg.com/images/g/tRUAAOSwZUJh563M/s-l500.webp
"Apple MacBook Pro 14.2"" M1 Pro Chip 16GB 512GB Silver MKGR3LL/A 2021 Model",1850.0,https://www.ebay.com/itm/304694532596,https://i.ebayimg.com/images/g/-oYAAOSwdhxjY0U9/s-l500.webp
"Apple MacBook Pro 16"" M1 Max chip 32GB RAM 1TB SSD MK1A3LL/A - Space Gray",1949.99,https://www.ebay.com/itm/327165509220,https://i.ebayimg.com/images/g/Xj4AAeSwPXpqC1gw/s-l500.webp
"Apple MacBook Pro With M1 Max Chip, (16"", 1TB SSD, 32GB) - Space Gray (New)",1949.99,https://www.ebay.com/itm/168330147633,https://i.ebayimg.com/images/g/cvgAAeSwBeNp65wn/s-l500.webp
"Apple MacBook Pro 13"" 256GB SSD M1 3.2GHz 16GB - Space Gray - Z11B000E3b A2338",1999.0,https://www.ebay.com/itm/195623692343,https://i.ebayimg.com/images/g/GHEAAOSwO8Jj-t6Z/s-l500.webp
"Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8-core CPU and 14-core GPU,",1999.0,https://www.ebay.com/itm/394221443712,https://i.ebayimg.com/images/g/O1QAAOSwHf5jDqwQ/s-l500.webp
"Apple MacBook Pro 16” M1 Pro (16GB 1TB, 10C CPU, 16C GPU) Silver MK1F3LL/A",2000.0,https://www.ebay.com/itm/137568836567,https://i.ebayimg.com/images/g/-UAAAeSwQ7dqa-rC/s-l500.webp
